RowsA,ColsA,ColsB,CGRA,,,,CPU,,,Speedup
,,,Cycles,CGRA-Normalized,Auxiliar,CGRA-Normalized vs CPU,Cycles,CPU-Normalized,Auxiliar,
32,32,32,34962,1,34962,"0,07446090281",469535,1,469535,"13,43"
33,33,33,36679,"1,049110463",34962,"0,0781177122",514566,"1,095905524",469535,"14,03"
34,34,34,69640,"1,991876895",34962,"0,1483169519",562389,"1,197757356",469535,"8,08"
35,35,35,59623,"1,705365826",34962,"0,126983079",655894,"1,396901189",469535,"11,00"
36,36,36,49300,"1,410102397",34962,"0,1049974975",666747,"1,420015547",469535,"13,52"
37,37,37,51625,"1,476603169",34962,"0,1099492051",723450,"1,540779708",469535,"14,01"
38,38,38,87582,"2,505062639",34962,"0,1865292257",783281,"1,668205778",469535,"8,94"
39,39,39,74104,"2,119558378",34962,"0,1578242304",905566,"1,928644297",469535,"12,22"
40,40,40,67143,"1,920456496",34962,"0,1429989245",912663,"1,943759251",469535,"13,59"
41,41,41,69934,"2,000286025",34962,"0,1489431033",982382,"2,092244455",469535,"14,05"
42,42,42,107998,"3,089010926",34962,"0,2300105423",1055565,"2,24810717",469535,"9,77"
43,43,43,90328,"2,583605057",34962,"0,192377565",1211718,"2,580676627",469535,"13,41"
44,44,44,88878,"2,542131457",34962,"0,1892894033",1212659,"2,582680737",469535,"13,64"
45,45,45,92219,"2,637692352",34962,"0,1964049538",1296738,"2,76174939",469535,"14,06"
46,46,46,130892,"3,743836165",34962,"0,2787694208",1384618,"2,948913287",469535,"10,58"
47,47,47,108240,"3,095932727",34962,"0,2305259459",1476381,"3,144347067",469535,"13,64"
48,48,48,105061,"3,005005434",34962,"0,2237554176",1572112,"3,348231761",469535,"14,96"
49,49,49,104491,"2,988702019",34962,"0,2225414506",1789447,"3,811104603",469535,"17,13"
50,50,50,154194,"4,410331217",34962,"0,3283972441",1900715,"4,048079483",469535,"12,33"
51,51,51,115916,"3,315485384",34962,"0,2468740349",1883953,"4,012380334",469535,"16,25"
52,52,52,111955,"3,20219095",34962,"0,2384380291",1996396,"4,251857689",469535,"17,83"
53,53,53,122292,"3,497854814",34962,"0,2604534273",2261999,"4,81753011",469535,"18,50"
54,54,54,180464,"5,161718437",34962,"0,3843462149",2391887,"5,094161245",469535,"13,25"
55,55,55,147620,"4,222298496",34962,"0,3143961579",2360389,"5,027077854",469535,"15,99"
56,56,56,163285,"4,670356387",34962,"0,347758953",2490888,"5,305010276",469535,"15,25"
57,57,57,172604,"4,936902923",34962,"0,3676062487",2811191,"5,987180934",469535,"16,29"
58,58,58,212757,"6,085378411",34962,"0,4531227704",2766142,"5,891237075",469535,"13,00"
59,59,59,205584,"5,880212802",34962,"0,437845954",2911065,"6,199889252",469535,"14,16"
60,60,60,222379,"6,360591499",34962,"0,4736153854",3060964,"6,519139148",469535,"13,76"
61,61,61,226285,"6,472312797",34962,"0,4819342541",3442783,"7,332324534",469535,"15,21"
62,62,62,244568,"6,995251988",34962,"0,5208727784",3376026,"7,190147699",469535,"13,80"
63,63,63,238272,"6,815170757",34962,"0,5074637673",3541357,"7,542264155",469535,"14,86"
64,64,64,243722,"6,971054288",34962,"0,5190709958",3711999,"7,905691801",469535,"15,23"
65,65,65,238712,"6,827755849",34962,"0,5084008647",4162535,"8,865228364",469535,"17,44"
66,66,66,272201,"7,785624392",34962,"0,5797246212",4069558,"8,667209047",469535,"14,95"
67,67,67,245165,"7,01232767",34962,"0,5221442491",4256641,"9,065652188",469535,"17,36"
68,68,68,250273,"7,158429152",34962,"0,5330230973",4763670,"10,14550566",469535,"19,03"
69,69,69,254693,"7,284852125",34962,"0,5424366661",4976208,"10,59816201",469535,"19,54"
70,70,70,307771,"8,803014702",34962,"0,6554804221",4852114,"10,33387074",469535,"15,77"
71,71,71,297576,"8,511412391",34962,"0,6337674508",5062293,"10,78150298",469535,"17,01"
72,72,72,322494,"9,224129054",34962,"0,686836977",5651562,"12,03650846",469535,"17,52"
73,73,73,339078,"9,698472627",34962,"0,7221570277",5889560,"12,54338867",469535,"17,37"
74,74,74,351957,"10,066844",34962,"0,7495862928",5729070,"12,20158242",469535,"16,28"
75,75,75,373451,"10,68162577",34962,"0,7953634979",5963689,"12,70126615",469535,"15,97"
76,76,76,394315,"11,27838796",34962,"0,83979895",6643454,"14,149007",469535,"16,85"
77,77,77,395996,"11,32646874",34962,"0,8433790878",6451972,"13,74119501",469535,"16,29"
78,78,78,399677,"11,43175448",34962,"0,851218759",6705803,"14,28179582",469535,"16,78"
79,79,79,413904,"11,838682",34962,"0,8815189496",6966206,"14,83639345",469535,"16,83"
80,80,80,424007,"12,12765288",34962,"0,9030359824",7233265,"15,40516681",469535,"17,06"
81,81,81,420255,"12,02033637",34962,"0,8950450978",7507064,"15,9882948",469535,"17,86"
82,82,82,419732,"12,00537727",34962,"0,8939312298",7787687,"16,58595632",469535,"18,55"
83,83,83,450056,"12,87271895",34962,"0,9585142748",8075218,"17,19833026",469535,"17,94"
84,84,84,480910,"13,75521995",34962,"1,024226096",8369741,"17,82559554",469535,"17,40"
85,85,85,498658,"14,26285682",34962,"1,062025195",8671340,"18,46793104",469535,"17,39"
86,86,86,514749,"14,72309937",34962,"1,096295271",8980099,"19,12551567",469535,"17,45"
87,87,87,544731,"15,580659",34962,"1,160149936",9296102,"19,79852833",469535,"17,07"
88,88,88,571412,"16,34380184",34962,"1,21697424",9619433,"20,48714792",469535,"16,83"
89,89,89,577514,"16,51833419",34962,"1,229970077",9950176,"21,19155335",469535,"17,23"
90,90,90,584579,"16,72041073",34962,"1,245016878",10288415,"21,9119235",469535,"17,60"
91,91,91,607226,"17,36817116",34962,"1,293249704",10634234,"22,64843728",469535,"17,51"
92,92,92,623795,"17,84208569",34962,"1,328537809",10987717,"23,4012736",469535,"17,61"
93,93,93,623178,"17,82443796",34962,"1,327223743",11348948,"24,17061135",469535,"18,21"
94,94,94,624692,"17,86774212",34962,"1,330448209",11718011,"24,95662943",469535,"18,76"
95,95,95,670277,"19,17158629",34962,"1,427533624",12094990,"25,75950675",469535,"18,04"
96,96,96,706790,"20,21594874",34962,"1,505297795",13364513,"28,46329454",469535,"18,91"
97,97,97,727721,"20,81462731",34962,"1,549875941",12873032,"27,41655468",469535,"17,69"
98,98,98,740363,"21,1762199",34962,"1,576800452",13274263,"28,27108309",469535,"17,93"
99,99,99,776302,"22,20416452",34962,"1,653342136",13683746,"29,14318634",469535,"17,63"
100,100,100,807404,"23,09375894",34962,"1,71958214",15101365,"32,16238406",469535,"18,70"
101,101,101,815845,"23,33519249",34962,"1,7375595",14527804,"30,94083295",469535,"17,81"
102,102,102,817564,"23,38436016",34962,"1,741220569",14962547,"31,86673411",469535,"18,30"
103,103,103,844999,"24,16906928",34962,"1,799650718",15405878,"32,8109257",469535,"18,23"
104,104,104,864264,"24,7200961",34962,"1,840680673",16982537,"36,16884151",469535,"19,65"
105,105,105,890481,"25,46996739",34962,"1,896516767",16318640,"34,7548958",469535,"18,33"
106,106,106,908952,"25,99828385",34962,"1,935855687",16788239,"35,75503211",469535,"18,47"
107,107,107,959083,"27,43215491",34962,"2,042623021",17266762,"36,77417445",469535,"18,00"
108,108,108,1001021,"28,63168583",34962,"2,131941176",19013789,"40,49493435",469535,"18,99"
109,109,109,1018109,"29,12044505",34962,"2,168334629",18250916,"38,87019285",469535,"17,93"
110,110,110,1021082,"29,20548024",34962,"2,174666425",18756715,"39,94742671",469535,"18,37"
111,111,111,1058706,"30,28162004",34962,"2,254796767",19271774,"41,04438221",469535,"18,20"
112,112,112,1095602,"31,33693725",34962,"2,333376639",21200881,"45,15293003",469535,"19,35"
113,113,113,1102709,"31,54021509",34962,"2,34851289",20330008,"43,29817373",469535,"18,44"
114,114,114,1094620,"31,30884961",34962,"2,331285208",20873351,"44,45536754",469535,"19,07"
115,115,115,1129205,"32,29806647",34962,"2,404943188",21426290,"45,63299861",469535,"18,97"
116,116,116,1209194,"34,58595046",34962,"2,575301096",23549573,"50,155096",469535,"19,48"
117,117,117,1185698,"33,91390653",34962,"2,525260098",22561292,"48,05028805",469535,"19,03"
118,118,118,1198385,"34,27678623",34962,"2,552280448",23143523,"49,29030424",469535,"19,31"
119,119,119,1212542,"34,68171157",34962,"2,582431555",23735686,"50,55147327",469535,"19,58"